en-us	bg-bg	cs-cz	da-dk	de-de	el-gr	es-es	et-ee	fi-fi	fr-fr	ga	hr-hr	hu-hu	is-is	it-it	kk-kz	lt-lt	lv-lv	mk-mk	mt-mt	nl-nl	nb-no	pl-pl	pt-pt	ro-ro	ru-ru	sk-sk	sl-si	sq-al	sr-rs	sv-se	tr-tr	uk-ua	zh-cn	bs-ba
Oral emulsion in sachet	Перорална емулсия в саше	Perorální emulze v sáčku	Oral emulsion i brev	Emulsion zum Einnehmen im Beutel	Πόσιμο γαλάκτωμα σε φακελίσκο	Emulsión oral en sobre	Suukaudne emulsioon kotikeses	Oraaliemulsio, annospussi	Emulsion buvable en sachet	Eibleacht béil i saicín	Oralna emulzija u vrećici	 - 	Mixtúra, fleyti í skammtapoka	Emulsione orale in bustina	 - 	Geriamoji emulsija paketėlyje	Emulsija iekšķīgai lietošanai paciņā	 - 	 - 	Emulsie voor oraal gebruik in sachet	Mikstur, emulsjon i dosepose	Emulsja doustna w saszetce	Emulsão oral em saquetas	 - 	Эмульсия для приема внутрь в саше	Perorálna emulzia vo vrecku	Peroralna emulzija v vrečici	 - 	Oralna emulzija u kesici	Oral emulsion i dospåse	Saşede ağızdan emülsiyon	 - 	 - 	 - 
Oral paste in sachet	Перорална паста в саше	Perorální pasta v sáčku	Oral pasta i brev	Paste zum Einnehmen im Beutel	Στοματική πάστα σε φακελίσκο	Pasta oral en sobre	Suukaudne pasta kotikeses	Oraalipasta, annospussi	Pâte orale en sachet	Taos béil i saicín	Oralna pasta u vrećici	 - 	Pasta til inntöku í skammtapoka	Pasta orale in bustina	 - 	Valgomoji pasta paketėlyje	Pasta iekšķīgai lietošanai paciņā	 - 	 - 	Pasta voor oraal gebruik in sachet	Oralpasta i dosepose	Pasta doustna w saszetce	Pasta oral em saquetas	 - 	Паста для приема внутрь в саше	Perorálna pasta vo vrecku	Peroralna pasta v vrečici	 - 	Oralna pasta u kesici	Oral pasta i dospåse	Saşede ağızdan pat	 - 	 - 	 - 
Oral powder in sachet	Перорален прах в саше	Perorální prášek v sáčku	Oralt pulver i brev	Pulver zum Einnehmen im Beutel	Πόσιμη κόνις σε φακελίσκο	Polvo oral en sobre	Suukaudne pulber kotikeses	Jauhe, annospussi	Poudre orale en sachet	Púdar béil i saicín	Oralni prašak u vrećici	 - 	Duft til inntöku í skammtapoka	Polvere orale in bustina	Қапшықтағы оральдік ұнтақ	Geriamieji milteliai paketėlyje	Pulveris iekšķīgai lietošanai paciņā	 - 	 - 	Poeder voor oraal gebruik in sachet	Pulver i dosepose	Proszek doustny w saszetce	Pó oral em saqueta	Pulbere orală în plic	Порошок для приема внутрь в саше	Perorálny prášok vo vrecku	Peroralni prašek v vrečici	 - 	Oralni prašak u kesici	Oralt pulver i dospåse	Saşede ağızdan toz	Порошок оральний в саше	 - 	 - 
Oral solution in sachet	Перорален разтвор в саше	Perorální roztok v sáčku	Oral opløsning i brev	Lösung zum Einnehmen im Beutel	Πόσιμο διάλυμα σε φακελίσκο	Solucion oral en sobre	Suukaudne lahus kotikeses	Oraaliliuos, annospussi	Solution buvable en sachet	Tuaslagán béil i saicín	Oralna otopina u vrećici	 - 	Mixtúra, lausn í skammtapoka	Soluzione orale in bustina	Қапшықтағы оральдік  ерітінді	Geriamasis tirpalas paketėlyje	Šķīdums iekšķīgai lietošanai paciņā	 - 	 - 	Drank in sachet	Mikstur, oppløsning i dosepose	Roztwór doustny w saszetce	Solução oral em saqueta	Soluţie orală în plic	Раствор для приема внутрь в саше	Perorálny roztok vo vrecku	Peroralna raztopina v vrečici	 - 	Oralni rastvor u kesici	Oral lösning i dospåse	Saşede ağızdan çözelti	Розчин оральний в саше	 - 	 - 
Oral solution in single-dose container	Перорален разтвор в еднодозова опаковка	Perorální roztok v jednodávkovém obalu	Oral opløsning i enkeltdosisbeholder	Lösung zum Einnehmen im Einzeldosisbehältnis	Πόσιμο διάλυμα σε περιέκτη μίας δόσης	Solución oral en envase unidosis	Suukaudne lahus üheannuselises konteineris	Oraaliliuos, kerta-annospakkaus	Solution buvable en récipient unidose	Tuaslagán béil i gcoimeádán aon dáileoige	Oralna otopina u jednodoznom spremniku	 - 	Mixtúra, lausn í stakskammtaíláti	Soluzione orale in contenitore monodose	Бір дозалы контейнердегі  оральдік ерітінді	Geriamasis tirpalas vienadozėje talpyklėje	Šķīdums iekšķīgai lietošanai vienas devas iepakojumā	 - 	 - 	Drank in verpakking voor eenmalig gebruik	Mikstur, oppløsning i endosebeholder	Roztwór doustny w pojemniku jednodawkowym	Solução oral em recipiente unidose	Soluţie orală în recipient unidoză	Раствор для приема внутрь в однодозовом контейнере	Perorálny roztok v jednodávkovom obale	Peroralna raztopina v enoodmernem vsebniku	 - 	Oralni rastvor u jednodoznom kontejneru	Oral lösning i endosbehållare	Tek dozluk kapta ağızdan çözelti	Розчин оральний в однодозовому контейнері	 - 	 - 
Oral suspension in sachet	Перорална суспензия в саше	Perorální suspenze v sáčku	Oral suspension i brev	Suspension zum Einnehmen im Beutel	Πόσιμο εναιώρημα σε φακελίσκο	Suspensión oral en sobre	Suukaudne suspensioon kotikeses	Oraalisuspensio, annospussi	Suspension buvable en sachet	Fuaidreán béil i saicín	Oralna suspenzija u vrećici	 - 	Mixtúra, dreifa í skammtapoka	Sospensione orale in bustina	Қапшықтағы оральдік   суспензия	Geriamoji suspensija paketėlyje	Suspensija iekšķīgai lietošanai paciņā	 - 	 - 	Suspensie voor oraal gebruik in sachet	Mikstur, suspensjon i dosepose	Zawiesina doustna w saszetce	Suspensão oral em saqueta	Suspensie orală în plic	Суспензия для приема внутрь в саше	Perorálna suspenzia vo vrecku	Peroralna suspenzija v vrečici	 - 	Oralna suspenzija u kesici	Oral suspension i dospåse	Saşede ağızdan süspansiyon	Суспензія оральна в саше	 - 	 - 
Pillules in single-dose container	Пилули в еднодозова опаковка	Pilule v jednodávkovém obalu	Granuler i enkeltdosisbeholder	Streukügelchen im Einzeldosisbehältnis	Καταπότια, περιέκτης μίας δόσης	Envase unidosis para glóbulos	Pillid üheannuselises konteineris	Helmet, kerta-annospakkaus	Granules en récipient unidose	Piollaí beaga i gcoimeádán aon dáileoige	Pilule u jednodoznom spremniku	Pilulák/golyócskák egyadagos tartályban	Pillur í stakskammtaíláti	Granuli in contenitore monodose	Бір дозалық контейнердегі пилюлялар	Piliulės vienadozėje talpyklėje	Zirnīši vienas devas iepakojumā	 - 	Pilloli żgħar, kontenitur b'doża waħda	Globuli in verpakking voor éénmalig gebruik	Granuler, endosebeholder	Granulki w pojemniku jednodawkowym	Grânulos em recipiente unidose	Granule homeopate, ambalaj unidoză	Пилюли в однодозовом контейнере	Pilulky v jednodávkovom obale	Pilule, enoodmerni vsebnik	Enë njëdozëshe për pilula	Pilule, jednodozni kontejner	Granuler i endosbehållare	Pilül, tek dozluk kap	Пилюли в однодозовому контейнері	 - 	 - 
Powder and solvent for prolonged-release suspension for injection in pre-filled pen	Прах и разтворител за инжекционна суспензия с удължено освобождаване в предварително напълнена писалка	Prášek a rozpouštědlo pro injekční suspenzi s prodlouženým uvolňováním v předplněném peru	Pulver og solvens til depotinjektionsvæske, suspension i fyldt pen	Pulver und Lösungsmittel zur Herstellung einer Depot-Injektionssuspension im Fertigpen	Κόνις και διαλύτης για παρασκευή ενέσιμου εναιωρήματος παρατεταμένης αποδέσμευσης σε προγεμισμένη συσκευή τύπου πένας	Polvo y disolvente para suspensión inyectable de liberación prolongada en pluma precargada	Toimeainet prolongeeritult vabastava süstesuspensiooni pulber ja lahusti pen-süstlis	Injektiokuiva-aine ja liuotin, depotsuspensiota varten, esitäytetty kynä	Poudre et solvant pour suspension injectable à libération prolongée en stylo prérempli	Púdar agus tuaslagóir le haghaidh fuaidreán scaoilte fhadaithe le haghaidh insteallta i bpeann réamh-líonta	Prašak i otapalo za suspenziju za injekciju s produljenim oslobađanjem u napunjenoj brizgalici	 - 	Stungulyfsstofn og leysir, forðadreifa í áfylltum lyfjapenna	Polvere e solvente per sospensione iniettabile a rilascio prolungato in penna preriempita	 - 	Milteliai ir tirpiklis pailginto atpalaidavimo injekcinei suspensijai užpildytame švirkštiklyje	Pulveris un šķīdinātājs ilgstošās darbības injekciju suspensijas pagatavošanai pildspalvveida pilnšļircē	 - 	 - 	Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte in een voorgevulde pen	Pulver og væske til depotinjeksjonsvæske, suspensjon i ferdigfylt penn	Proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań o przedłużonym uwalnianiu, we wstrzykiwaczu	Pó e veículo para suspensão injetável de libertação prolongada em caneta pré-cheia	Pulbere şi solvent pentru suspensie injectabilă cu eliberare prelungită, în stilou injector preumplut	Порошок и растворитель для приготовления суспензии с пролонгированным высвобождением для инъекций в предварительно заполненном шприце-ручке	Prášok a vehikulum na injekčnú suspenziu s predĺženým uvoľňovaním v naplnenom pere	Prašek in vehikel za suspenzijo s podaljšanim sproščanjem za injiciranje v napolnjenem injekcijskem peresniku	 - 	Prašak i rastvarač za suspenziju za injekciju sa produženim oslobađanjem u napunjenom injekcionom penu	Pulver och vätska till injektionsvätska, depotsuspension i förfylld injektionspenna	Kullanıma hazır kalemde enjeksiyonluk uzatılmış salımlı süspansiyon için toz ve çözücü	 - 	 - 	 - 
Powder and solvent for solution for injection in cartridge	Прах и разтворител за инжекционен разтвор в патрон	Prášek a rozpouštědlo pro injekční roztok v zásobní vložce	Pulver og solvens til injektionsvæske, opløsning i cylinderampul	Pulver und Lösungsmittel zur Herstellung einer Injektionslösung in einer Patrone	Κόνις και διαλύτης για ενέσιμο διάλυμα σε φυσίγγιο	Polvo y disolvente para solución inyectable en cartucho	Süstelahuse pulber ja lahusti kolbampullis	Injektiokuiva-aine ja liuotin, liuosta varten, sylinteriampulli	Poudre et solvant pour solution injectable en cartouche	Púdar agus tuaslagóir le haghaidh tuaslagáin le haghaidh insteallta i gcartús	Prašak i otapalo za otopinu za injekciju u ulošku	Por és oldószer oldatos injekcióhoz patronban	Stungulyfsstofn og leysir, lausn í rörlykju	Polvere e solvente per soluzione iniettabile in cartuccia	Картридждегі инъекциялық ерітінді дайындауға  арналған  ұнтақ және еріткіш	Milteliai ir tirpiklis injekciniam tirpalui užtaise	Pulveris un šķīdinātājs injekciju šķīduma pagatavošanai kārtridžā	 - 	 - 	Poeder en oplosmiddel voor oplossing voor injectie in een patroon	Pulver og væske til injeksjonsvæske, oppløsning i sylinderampulle	Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, we wkładzie	Pó e solvente para solução injetável em cartucho	Pulbere şi solvent pentru soluţie injectabilă în cartuş	Порошок и растворитель для приготовления раствора для инъекций в картридже	Prášok a rozpúšťadlo na injekčný roztok v náplni	Prašek in vehikel za raztopino za injiciranje v vložku	 - 	Prašak i rastvarač za rastvor za injekciju u ulošku	Pulver och vätska till injektionsvätska, lösning i cylinderampull	Kartuşta enjeksiyonluk çözelti için toz ve çözücü	Порошок та розчинник для розчину для ін'єкцій в картридже	 - 	 - 
Powder and solvent for solution for injection in pre-filled pen	Прах и разтворител за инжекционен разтвор в предварително напълнена писалка	Prášek a rozpouštědlo pro injekční roztok v předplněném peru	Pulver og solvens til injektionsvæske, opløsning i fyldt pen	Pulver und Lösungsmittel zur Herstellung einer Injektionslösung im Fertigpen	Κόνις και διαλύτης για ενέσιμο διάλυμα σε προγεμισμένη συσκευή τύπου πένας	Polvo y disolvente para solución inyectable en pluma precargada	Süstelahuse pulber ja lahusti pen-süstlis	Injektiokuiva-aine ja liuotin, liuosta varten, esitäytetty kynä	Poudre et solvant pour solution injectable en stylo prérempli	Púdar agus tuaslagóir le haghaidh tuaslagáin le haghaidh insteallta i bpeann réamh-líonta	Prašak i otapalo za otopinu za injekciju u napunjenoj brizgalici	 - 	Stungulyfsstofn og leysir, lausn í áfylltum lyfjapenna	Polvere e solvente per soluzione iniettabile in penna preriempita	Алдын ала қаламға толтырылған,   инъекциялық ерітінді дайындауға арналған  ұнтақ және еріткіш	Milteliai ir tirpiklis injekciniam tirpalui užpildytame švirkštiklyje	Pulveris un šķīdinātājs injekciju šķīduma pagatavošanai pildspalvveida pilnšļircē	 - 	 - 	Poeder en oplosmiddel voor oplossing voor injectie in een voorgevulde pen	Pulver og væske til injeksjonsvæske, oppløsning i ferdigfylt penn	Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, we wstrzykiwaczu półautomatycznym	Pó e solvente para solução injetável em caneta pré-cheia	Pulbere şi solvent pentru soluţie injectabilă în stilou injector preumplut	Порошок и растворитель для приготовления раствора для инъекций в предварительно заполненном шприце-ручке	Prášok a rozpúšťadlo na injekčný roztok v naplnenom pere	Prašek in vehikel za raztopino za injiciranje v napolnjenem injekcijskem peresniku	 - 	Prašak i rastvarač za rastvor za injekciju u napunjenom injekcionom penu	Pulver och vätska till injektionsvätska, lösning i förfylld injektionspenna	Kullanıma hazır kalemde enjeksiyonluk çözelti için toz ve çözücü	Порошок та розчинник для розчину для ін'єкцій в попередньо наповненої ручке	 - 	 - 
Powder and solvent for solution for injection in pre-filled syringe	Прах и разтворител за инжекционен разтвор в предварително напълнена спринцовка	Prášek a rozpouštědlo pro injekční roztok v předplněné injekční stříkačce	Pulver og solvens til injektionsvæske, opløsning i fyldt injektionssprøjte	Pulver und Lösungsmittel zur Herstellung einer Injektionslösung in einer Fertigspritze	Κόνις και διαλύτης για παρασκευή ενεσίμου διαλύματος σε προγεμισμένη σύριγγα	Polvo y disolvente para solución inyectable en jeringa precargada	Süstelahuse pulber ja lahusti süstlis	Injektiokuiva-aine ja liuotin liuosta varten, esitäytetty ruisku	Poudre et solvant pour solution injectable en seringue pré-remplie	Púdar agus tuaslagóir le haghaidh tuaslagáin le haghaidh insteallta i steallaire réamh-líonta	Prašak i otapalo za otopinu za injekciju u napunjenoj štrcaljki	 - 	Stungulyfsstofn og leysir, lausn í áfylltri sprautu	Polvere e solvente per soluzione iniettabile in siringa preriempita	Алдын-ала шприцке толтырылған, инъекцияға арналған ерітінді дайындау үшін қолданылатын ұнтақ және еріткіш	Milteliai ir tirpiklis injekciniam tirpalui užpildytame švirkšte	Pulveris un šķīdinātājs injekciju šķīduma pagatavošanai pilnšļircē	 - 	 - 	Poeder en oplosmiddel voor oplossing voor injectie in een voorgevulde spuit	Pulver og væske til injeksjonsvæske, oppløsning i ferdigfylt sprøyte	Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań w ampułko-strzykawce	Pó e solvente para solução injetável em seringa pré-cheia	Pulbere şi solvent pentru soluţie injectabilă în seringă preumplută	Порошок и растворитель для приготовления раствора для инъекций в предварительно заполненном шприце	Prášok a rozpúšťadlo na injekčný roztok v naplnenej injekčnej striekačke	Prašek in vehikel za raztopino za injiciranje v napolnjeni injekcijski brizgi	Pluhur dhe tretës për tretësirë për injeksion në shiringa të parambushura	Prašak i rastvarač za rastvor za injekciju u napunjenom injekcionom špricu	Pulver och vätska till injektionsvätska, lösning i förfylld spruta	Kullanıma hazır şırıngada enjeksiyonluk çözelti için toz ve çözücü	Порошок та розчинник для розчину для ін'єкцій в попередньо наповненому шприце	 - 	 - 
Powder and solvent for suspension for injection in pre-filled syringe	Прах и разтворител за инжекционна суспензия в предварително напълнена спринцовка	Prášek a rozpouštědlo pro injekční suspenzi v předplněné injekční stříkačce	Pulver og solvens til injektionsvæske, suspension i fyldt injektionssprøjte	Pulver und Lösungsmittel zur Herstellung einer Injektionssuspension in einer Fertigspritze	Κόνις και διαλύτης για ενέσιμο εναιώρημα σε προγεμισμένη σύριγγα	Polvo y disolvente para suspensión inyectable en jeringa precargada	Süstesuspensiooni pulber ja lahusti süstlis	Injektiokuiva-aine ja liuotin suspensiota varten, esitäytetty ruisku	Poudre et solvant pour suspension injectable en seringue préremplie	Púdar agus tuaslagóir le haghaidh fuaidreáin le haghaidh insteallta i steallaire réamh-líonta	Prašak i otapalo za suspenziju za injekciju u napunjenoj štrcaljki	 - 	Stungulyfsstofn og leysir, dreifa í áfylltri sprautu	Polvere e solvente per sospensione iniettabile in siringa preriempita	Алдын ала шприцке толтырылған, инъекцияға арналған суспензия дайындау үшін ұнтақ және еріткіш	Milteliai ir tirpiklis injekcinei suspensijai užpildytame švirkšte	Pulveris un šķīdinātājs injekciju suspensijas pagatavošanai pilnšļircē	 - 	 - 	Poeder en oplosmiddel voor suspensie voor injectie in een voorgevulde spuit	Pulver og væske til injeksjonsvæske, suspensjon i ferdigfylt sprøyte	Proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań w ampułko-strzykawce	Pó e veículo para suspensão injetável em seringa pré-cheia	Pulbere şi solvent pentru suspensie injectabilă în seringă preumplută	Порошок и растворитель для приготовления суспензии для инъекций в предварительно заполненном шприце	Prášok a vehikulum na injekčnú suspenziu v naplnenej injekčnej striekačke	Prašek in vehikel za suspenzijo za injiciranje v napolnjeni injekcijski brizgi	 - 	Prašak i rastvarač za suspenziju za injekciju u napunjenom injekcionom špricu	Pulver och vätska till injektionsvätska, suspension i förfylld spruta	Kullanıma hazır şırıngada enjeksiyonluk süspansiyon için toz ve çözücü	Порошок та розчинник для суспензії для ін'єкцій в попередньо наповненому шприці	 - 	 - 
Powder for oral solution in sachet	Прах за перорален разтвор в саше	Prášek pro perorální roztok v sáčku	Pulver til oral opløsning i brev	Pulver zur Herstellung einer Lösung zum Einnehmen im Beutel	Κόνις για πόσιμο διάλυμα σε φακελίσκο	Polvo para solución oral en sobre	Suukaudse lahuse pulber kotikeses	Jauhe oraaliliuosta varten, annospussi	Poudre pour solution buvable en sachet	Púdar le haghaidh tuaslagán béil i saicín	Prašak za oralnu otopinu u vrećici	 - 	Mixtúruduft, lausn í skammtapoka	Polvere per soluzione orale in bustina	Қапшықтағы оральдік  ерітінді дайындауға арналған ұнтақ	Milteliai geriamajam tirpalui paketėlyje	Pulveris iekšķīgi lietojama šķīduma pagatavošanai paciņā	 - 	 - 	Poeder voor drank in sachet	Pulver til mikstur, oppløsning i dosepose	Proszek do sporządzania roztworu doustnego, w saszetce	Pó para solução oral em saqueta	Pulbere pentru soluţie orală în plic	Порошок для приготовления раствора для приема внутрь в саше	Prášok na perorálny roztok vo vrecku	Prašek za peroralno raztopino v vrečici	 - 	Prašak za oralni rastvor u kesici	Pulver till oral lösning i dospåse	Saşede ağızdan çözeltilik toz	Порошок для орального розчину в саше	 - 	 - 
Prolonged-release granules in sachet	Гранули с удължено освобождаване в саше	Granule s prodlouženým uvolňováním v sáčku	Depotgranulat i brev	Retardgranulat im Beutel	Κοκκία παρατεταμένης αποδέσμευσης σε φακελίσκο	Granulado de liberación prolongada en sobre	Toimeainet prolongeeritult vabastavad graanulid kotikeses	Depotrakeet, annospussi	Granulés à libération prolongée en sachet	Gráinníní scaoilte fhadaithe i saicín	Granule s produljenim oslobađanjem u vrećici	 - 	Forðakyrni í skammtapoka	Granulato a rilascio prolungato in bustina	Қапшықтағы ұзақ босайтын түйіршіктер	Pailginto atpalaidavimo granulės paketėlyje	Ilgstošās darbības granulas paciņā	 - 	 - 	Granulaat met verlengde afgifte in sachet	Depotgranulat i dosepose	Granulat o przedłużonym uwalnianiu, w saszetce	Granulado de libertação prolongada em saqueta	Granule cu eliberare prelungită în plic	Гранулы с пролонгированным высвобождением в саше	Granulát s predĺženým uvoľňovaním vo vrecku	Zrnca s podaljšanim sproščanjem v vrečici	 - 	Granule sa produženim oslobađanjem u kesici	Depotgranulat i dospåse	Saşede uzatılmış salımlı granül	Гранули з пролонгованим вивільненням в саше	 - 	 - 
Prolonged-release suspension for injection in pre-filled syringe	Инжекционна суспензия с удължено освобождаване в предварително напълнена спринцовка	Injekční suspenze s prodlouženým uvolňováním v předplněné injekční stříkačce	Depotinjektionsvæske, suspension i fyldt injektionssprøjte	Depot-Injektionssuspension in einer Fertigspritze	Ενέσιμο εναιώρημα παρατεταμένης αποδέσμευσης σε προγεμισμένη σύριγγα	Suspensión inyectable de liberación prolongada en jeringa precargada	Toimeainet prolongeeritult vabastav süstesuspensioon süstlis	Injektioneste, depotsuspensio, esitäytetty ruisku	Suspension injectable à libération prolongée en seringue préremplie	Fuaidreán scaoilte fhadaithe le haghaidh insteallta i steallaire réamh-líonta	Suspenzija za injekciju s produljenim oslobađanjem u napunjenoj štrcaljki	 - 	Stungulyf, forðadreifa í áfylltri sprautu	Sospensione iniettabile a rilascio prolungato in siringa preriempita	Алдын ала шприцке толтырылған,  инъекцияға арналған ұзақ босайтын  суспензия	Pailginto atpalaidavimo injekcinė suspensija užpildytame švirkšte	Ilgstošās darbības suspensija injekcijām pilnšļircē	 - 	 - 	Suspensie voor injectie met verlengde afgifte in een voorgevulde spuit	Depotinjeksjonsvæske, suspensjon i ferdigfylt sprøyte	Zawiesina do wstrzykiwań o przedłużonym uwalnianiu w ampułko-strzykawce	Suspensão de libertação prolongada em seringa pré-cheia	Suspensie injectabilă cu eliberare prelungită în seringă preumplută	Суспензия с пролонгированным высвобождением для инъекций в предварительно заполненном шприце	Injekčná suspenzia s predĺženým uvoľňovaním v naplnenej injekčnej striekačke	Suspenzija s podaljšanim sproščanjem za injiciranje v napolnjeni injekcijski brizgi	 - 	Suspenzija za injekciju sa produženim oslobađanjem u napunjenom injekcionom špricu	Injektionsvätska, depotsuspension i förfylld spruta	Kullanıma hazır şırıngada enjeksiyonluk uzatılmış salımlı süspansiyon	Суспезія пролонгованого вивільнення для ін'єкцій в попередньо наповненому шприці	 - 	 - 
Solution and suspension for suspension for injection in pre-filled syringe	Разтвор и суспензия за инжекционна суспензия в предварително напълнена спринцовка	Roztok a suspenze pro injekční suspenzi v  předplněné injekční stříkačce	Opløsning og suspension til injektionsvæske, suspension i fyldt injektionssprøjte	Lösung und Suspension zur Herstellung einer Injektionssuspension in einer Fertigspritze	Διάλυμα και εναιώρημα για παρασκευή ενεσίμου εναιωρήματος σε προγεμισμένη σύριγγα	Solución y suspensión para suspensión inyectable en jeringa precargada	Süstesuspensiooni lahus ja suspensioon süstlis	Liuos ja suspensio injektionestettä varten, suspensio, esitäytetty ruisku	Solution et suspension pour suspension injectable en seringue préremplie	Tuaslagán agus fuaidreán le haghaidh fuaidreáin le haghaidh insteallta i steallaire réamh-líonta	Otopina i suspenzija za suspenziju za injekciju u napunjenoj štrcaljki	 - 	Lausn og dreifa fyrir stungulyf, dreifa í áfylltri sprautu	Soluzione e sospensione per sospensione iniettabile in siringa preriempita	Алдын ала шприцке толтырылған, инъекцияға арналған суспензия дайындау үшін ерітінді және суспензия	Tirpalas ir suspensija injekcinei suspensijai užpildytame švirkšte	Šķīdums un suspensija injekciju suspensijas pagatavošanai pilnšļircē	 - 	 - 	Oplossing en suspensie voor suspensie voor injectie in een voorgevulde spuit	Oppløsning og suspensjon til injeksjonsvæske, suspensjon i ferdigfylt sprøyte	Roztwór i zawiesina do sporządzania zawiesiny do wstrzykiwań, w ampułko-strzykawce	Solução e suspensão para suspensão injetável em seringa pré-cheia	Soluţie şi suspensie pentru suspensie injectabilă în seringă preumplută	Раствор и суспензия для приготовления суспензии для инъекций в предварительно заполненном шприце	Roztok a suspenzia na injekčnú suspenziu v naplnenej injekčnej striekačke	Raztopina in suspenzija za suspenzijo za injiciranje v napolnjeni injekcijski brizgi	 - 	Rastvor i suspenzija za suspenziju za injekciju u napunjenom injekcionom špricu	Lösning och suspension till injektionsvätska, suspension i förfylld spruta	Kullanıma hazır şırıngada enjeksiyonluk süspansiyon için çözelti ve süspansiyon	Розчин та суспензія для суспезії для ін'єкцій в попередньо наповненому шприці	 - 	 - 
Solution for infusion in pre-filled syringe	Инфузионен разтвор в предварително напълнена спринцовка	Infuzní roztok v předplněné injekční stříkačce	Infusionsvæske, opløsning i fyldt injektionssprøjte	Infusionslösung in einer Fertigspritze	Διάλυμα προς έγχυση σε προγεμισμένη σύριγγα	Solución para perfusión en jeringa precargada	Infusioonilahus süstlis	Infuusioneste, liuos, esitäytetty ruisku	Solution pour perfusion en seringue préremplie	Tuaslagán le haghaidh iondoirte i steallaire réamh-líonta	Otopina za infuziju u napunjenoj štrcaljki	 - 	Innrennslislyf, lausn í áfylltri sprautu	Soluzione per infusione in siringa preriempita	Алдын ала шприцке толтырылған инфузияға арналған ерітінді	Infuzinis tirpalas užpildytame švirkšte	Šķīdums infūzijām pilnšļircē	 - 	 - 	Oplossing voor infusie in een voorgevulde spuit	Infusjonsvæske, oppløsning i ferdigfylt sprøyte	Roztwór do infuzji w ampułko-strzykawce	Solução para perfusão em seringa pré-cheia	Soluţie perfuzabilă în seringă preumplută	Раствор для инфузий в предварительно заполненном шприце	Infúzny roztok v naplnenej injekčnej striekačke	Raztopina za infundiranje v napolnjeni injekcijski brizgi	 - 	Rastvor za infuziju u napunjenom injekcionom špricu	Infusionsvätska, lösning i förfylld spruta	Kullanıma hazır şırıngada infüzyonluk çözelti	Розчин для інфузій у попередньо наповненому шприці	 - 	 - 
Solution for injection in cartridge	Инжекционен разтвор в патрон	Injekční roztok v zásobní vložce	Injektionsvæske, opløsning i cylinderampul	Injektionslösung in einer Patrone	Ενέσιμο διάλυμα σε φυσίγγιο	Solución inyectable en cartucho	Süstelahus kolbampullis	Injektioneste, liuos, sylinteriampulli	Solution injectable en cartouche	Tuaslagán le haghaidh insteallta i gcartús	Otopina za injekciju u ulošku	Oldatos injekció patronban	Stungulyf, lausn í rörlykju	Soluzione iniettabile in cartuccia	Картридждегі инъекцияға арналған ерітінді	Injekcinis tirpalas užtaise	Šķīdums injekcijām kārtridžā	 - 	 - 	Oplossing voor injectie in een patroon	Injeksjonsvæske, oppløsning i sylinderampulle	Roztwór do wstrzykiwań we wkładzie	Solução injetável em cartucho	Soluţie injectabilă în cartuş	Раствор для инъекций в картридже	Injekčný roztok v náplni	Raztopina za injiciranje v vložku	Tretësirë për injeksion në fishek	Rastvor za injekciju u ulošku	Injektionsvätska, lösning i cylinderampull	Kartuşta enjeksiyonluk çözelti	Розчин для ін'єкцій у картриджі	 - 	 - 
Solution for injection in needle-free injector	Инжекционен разтвор в безиглен инжектор	Injekční roztok v tlakovém injektoru	Injektionsvæske, opløsning i nålefri injektor	Injektionslösung in einem nadelfreien Injektor	Ενέσιμο διάλυμα σε σύστημα διαδερμικής χορήγησης χωρίς βελόνα	Solución inyectable en inyector sin aguja	Süstelahus nõelata injektoris	Injektioneste, liuos, neulaton ruisku	Solution injectable en injecteur sans aiguille	Tuaslagán le haghaidh insteallta in insteallaire saor ó snáthaid	Otopina za injekciju u injektoru bez igle	 - 	Stungulyf, lausn í nálarlausu inndælingartæki	Soluzione iniettabile in iniettore privo di ago	Инесіз инжектордағы инъекцияға  арналған  ерітінді	Injekcinis tirpalas neadatiniame injektoriuje	Šķīdums injekcijām injektorā bez adatas	 - 	 - 	Oplossing voor injectie in een naaldvrije injector	Injeksjonsvæske, oppløsning i nålefri injektor	Roztwór do wstrzykiwań we wstrzykiwaczu bezigłowym	Solução injetável em injetor sem seringa	Soluţie injectabilă în injector fără ac	Раствор для инъекций в безигольном инжекторе	Injekčný roztok v bezihlovom injektore	Raztopina za injiciranje v brezigelnem injektorju	 - 	Rastvor za injekciju u injektoru bez igle	Injektionsvätska, lösning i nålfri injektor	İğnesiz enjektörde enjeksiyonluk çözelti	Розчин для ін'єкцій в шприці без голки	 - 	 - 
